description,genres,img,last_chapter,link,origin,published_date,state,title,type
"Un monde fantastique coupé en deux : le niveau inférieur où vit Espada, notre jeune héros, et l'île d'Horus flottant au-dessus d'une mer de nuages. Ces deux lieux, uniquement liés par une œuvre ancestrale et méconnue, la tour d'Ar Tonelico, vont devenir la scène d'une tragédie romanesque. Entre violence et amour, amitié et trahison, vivez la rencontre d'Espada avec son passé, passé qui va déterminer son avenir !",Shōnen,/imgs/mangas/ar-tonelico-arpeggio.jpg,https://www.japscan.me/manga/ar-tonelico-arpeggio/,https://www.japscan.me/manga/ar-tonelico-arpeggio/,Japon,,,Manga Ar Tonelico Arpeggio,2006
"En l'an 320 du calendrier de Parse, l'armée du roi Andragoras est défaite par les troupes du royaume de Lusitania au cours de la terrible bataille d'Atropathènes. Ecbatâna, la capitale, est mise à sac et le royaume est conquis. Échappant à la débandade militaire, le jeune prince héritier de Parse Arslân rassemble à ses côtés un groupe d'individus extraordinaires dans le but de combattre l'usurpateur au Masque d'Argent, Hilmes. Accompagné de Dariûn, un chef de cavalerie, Narsus, stratège militaire et peintre, Alfrîd, fille du chef des Zott, ou encore le ménestrel Ghîb et la belle prêtresse Faranghîs, Arslân devra monter une armée capable de tenir tête aux 30 000 soldats lusitaniens bien entraînés et reconquérir le trône. Ainsi débute les inoubliables événements compilés dans les légendaires chroniques d'Arslân...",Shōnen,/imgs/mangas/arslan-senki.jpg,https://www.japscan.me/manga/arslan-senki/,https://www.japscan.me/manga/arslan-senki/,Japon,,,Manga Arslan Senki,2013
Asadora! raconte la vie d’une jeune fille dans le Japon d’après guerre. L’histoire se déroule sur plusieurs dizaines d’années jusqu’au jour présent.,Seinen,/imgs/mangas/asadora.jpg,https://www.japscan.me/manga/asadora/,https://www.japscan.me/manga/asadora/,Japon,,,Manga Asadora!,2018
"Sourire pour quoi ? Sourire pour qui ?
Pour masquer ses blessures… ou exprimer sa joie ?
Kuko, jeune lycéenne, affiche toujours un sourire radieux ! Mais autour d'elle, personne ne semble soupçonner que derrière cette apparente bonne humeur se cache une profonde douleur. Ni son père. Ni Kiyo, son voisin métisse. Ni Ibuki, son amie d'enfance fan de shôjo mangas. Seul Outa, jeune étudiant en école d’art, réussit à lire en elle, au-delà des apparences. Car en réalité, depuis sa plus tendre enfance, Kuko souffre d'une absence : de celle d'une mère décédée lors du grand séisme de Kobé. Alors, pour exorciser tout son mal-être, la jeune fille aime tenir son blog photo, sur lequel elle poste ""sa vision du monde"", à travers le regard des animaux. Mais l'arrivée dans son quartier d'un garçon plus perspicace que les autres pourrait bien chambouler son quotidien…",Shōjo,/imgs/mangas/aruitou.jpg,https://www.japscan.me/manga/aruitou/,https://www.japscan.me/manga/aruitou/,Japon,,,Manga Aruitou,2011
"Yûki Kagami est un étudiant comme les autres mais, à cause de son prénom, les gens le prennent pour une fille. Suite à une erreur de Kakinozaka Ayana, professeur de l'académie Hôrin, il se retrouve à emménager avec le professeur Ayana dans une chambre du dortoir des filles durant le premier semestre à l'académie. De plus, il devra tout faire pour ne pas être démasqué.","Seinen, Yuri, Shounen",/imgs/mangas/asa-made-jugyou-chu.jpg,https://www.japscan.me/manga/asa-made-jugyou-chu/,https://www.japscan.me/manga/asa-made-jugyou-chu/,Japon,,,Manga Asa Made Jugyou Chu!,2008
"Après avoir été enlevé dans le monde des esprits, un jeune garçon éveille ses pouvoirs de divinité en accédant au nirvana. Avec sa sœur jumelle cadette, ils explorent ce monde mystérieux, étudient le taoïsme, deviennent plus forts, aident les dieux, se font des amis, résolvent les mystères et deviennent le dieu numéro un qui tue les démons!",Man Duola,/imgs/mangas/ascension-to-godhood-by-slaying-demons.jpg,https://www.japscan.me/manga/ascension-to-godhood-by-slaying-demons/,https://www.japscan.me/manga/ascension-to-godhood-by-slaying-demons/,Chine,Seinen,En Cours,Manhua Ascension To Godhood By Slaying Demons,"Fantastique, Mystère, Surnaturel, Démons, Action, Aventure, Combats, Monstres, Arts Martiaux"
"Du souffle, il en faudra pour suivre ce récit à la fois haletant et contemplatif, qui place les lecteurs au contact (rugueux) de la montagne, sur le chemin ouvert par Buntarô Mori. Ce lycéen ombrageux et solitaire n'a jamais cherché à s'intégrer à la société. Mais au détour d'un défi lancé par un camarade de classe fan d'escalade, il entreprend la périlleuse ascension d'un bâtiment scolaire. En atteignant le toit, il se sent réellement vivant pour la première fois de sa vie, jusqu'ici rongée par l'ennui. La découverte de l'alpinisme va ensuite lui révéler un talent inné, et lui faire découvrir une incroyable sensation de plénitude, qui agit comme une drogue.",Seinen,/imgs/mangas/ascension.jpg,https://www.japscan.me/manga/ascension/,https://www.japscan.me/manga/ascension/,Japon,,,Manga Ascension,2008
"Depuis un combat apocalyptique opposant un Dieu et un Démon, l’humanité s’est vue dotée d’une paire de “bras d’acier” supplémentaire et vit sur une Terre infestée de droïdes mécaniques. Parmi eux, ceux qui possèdent plus de deux bras d’acier sont considérés comme des “descendants du démon”, des “multibras” tués ou abandonnés à la naissance. Notre héros, Ashidaka, fait partie de ces derniers, et survit en chassant les droïdes. Passionné par ces créatures et leur customisation, il cultive son talent jusqu’à ce qu’un jour, le Démon revienne sur Terre pour bouleverser l’ordre établi...",Shōnen,/imgs/mangas/ashidaka-the-iron-hero.jpg,https://www.japscan.me/manga/ashidaka-the-iron-hero/,https://www.japscan.me/manga/ashidaka-the-iron-hero/,Japon,,,Manga Ashidaka - The Iron Hero,2020
"Tsukinaga rencontre une nouvelle étudiante qui tente d'atteindre son casier à chaussures, démontrant ses capacités athlétiques, elle attrape les pantoufles avec ses pieds ! Ce n'est pas tout, Komurai Komura se présente à la classe en écrivant son nom avec son pied ! Une comédie d'amour pieds nus ne fait que commencer !",Shounen,/imgs/mangas/ashigei-shoujo-komura-san.jpg,https://www.japscan.me/manga/ashigei-shoujo-komura-san/,https://www.japscan.me/manga/ashigei-shoujo-komura-san/,Japon,,,Manga Ashigei Shoujo Komura-San,2018
"Il y a 100 ans dans les plaines d'Angleterre. La jeune Nadja a été élevée dans un orphelinat et tout ce qu'elle garde de ses parents est une broche en forme de cœur. Un jour une troupe ambulante s'arrête dans son village et une vieille diseuse de bonne aventure lui prédit un destin hors normes. Et pour preuve, ce même jour elle reçoit une valise contenant une robe, un livre et une lettre. Il semblerait que sa mère soit vivante et qu'elle désire la rencontrer le jour de son 13ème anniversaire. Dans la nuit, un groupe de voleurs s'attaque à Nadja et met le feu à l'orphelinat. Sauvée in extremis par un beau jeune homme, elle se réveille au milieu de la troupe partie en direction de Londres.",Shōjo,/imgs/mangas/ashita-no-nadja.jpg,https://www.japscan.me/manga/ashita-no-nadja/,https://www.japscan.me/manga/ashita-no-nadja/,Japon,,,Manga Ashita No Nadja,2003
"Kirara est perçu par les autres comme un mignon et féminin garçon, cependant il souhaite devenir cool et viril ! Ainsi, quand il croise deux beaux garçons dans le voisinage, Kirara décide de les suivre pour apprendre à être viril ! Au fur et à mesure du temps, Kirara se rend compte qu'il ressent autre chose que de l'amitié pour Ken, le cadet.","Yaoi, Shounen Ai",/imgs/mangas/ashita-wa-docchi-da.jpg,https://www.japscan.me/manga/ashita-wa-docchi-da/,https://www.japscan.me/manga/ashita-wa-docchi-da/,Japon,,,Manga Ashita Wa Docchi Da !,2015
"À 16 ans déjà, Yui n'a aucun intérêt pour la vie. Lycéenne fainéante, elle ne s'intéresse ni à l'école ni aux garçons qui l'entourent, alors que toutes les filles de son âge rêvent de folles histoires d'amour. Un jour, son frère Takeru, actionne par erreur une machine à voyager dans le temps qu'il était en train de confectionner et envoie sa sœur dans le passé. Yui se retrouve alors à l'époque Sengoku...",Josei,/imgs/mangas/ashi-girl.jpg,https://www.japscan.me/manga/ashi-girl/,https://www.japscan.me/manga/ashi-girl/,Japon,,,Manga Ashi-Girl,2011
"Miyasako Kyouichi, est un drogué du travail séparé de son ancienne petite amie, Ashita, à cause de son mode de vie d’otaku qu’il refusait d’abandonner. Un jour, alors qu’une gigantesque sphère noire prend place au dessus de Tokyo, Miyasako reçoit un rai de lumière à ses pieds, qui fait apparaitre Ashita, comme si elle n’avait pas changé depuis toutes ces années. La question : qui est-elle vraiment ?",Seinen,/imgs/mangas/ashita-dorobou.jpg,https://www.japscan.me/manga/ashita-dorobou/,https://www.japscan.me/manga/ashita-dorobou/,Japon,,,Manga Ashita Dorobou,2007
"Il fut un temps en Europe, où la famille des Asclépios, était considérée comme hérétique et poursuivie par le sacerdoce. Malgré cela les Asclépios continuaient de sauver de nombreuses vies. Levé de rideau sur ce récit ...",Shōnen,/imgs/mangas/asklepios.jpg,https://www.japscan.me/manga/asklepios/,https://www.japscan.me/manga/asklepios/,Japon,,,Manga Asklepios,2008
"Exilé sur une planète désolée et rude, Ayr passe ses journés à chasser des monstres géants comme source de nourriture. Ensuite, tout change quand un policier vient lui dire que son exil a été révoqué. Après son arrivé à Askr, il apprend que beaucoup de temps s’est écoulé pendant son absence. 100 ans. Tout semble différent maintenant, mais une question demeure : pour quelle raison son exil a-t-il été révoqué après si longtemps ?","Action, Aventure, Science-fiction, Webtoon",/imgs/mangas/askr-yggdrasil-wood.jpg,https://www.japscan.me/manga/askr-yggdrasil-wood/,https://www.japscan.me/manga/askr-yggdrasil-wood/,Chine,2020,En Cours,Manhua Askr Yggdrasil Wood,Seinen
"YUBUKI Joe est un enfant de la rue, un orphelin bagarreur qui est régulièrement en conflit avec les autorités. À peine arrive-t-il dans un bidonville que ses frasques éveillent la curiosité et l’intérêt de Danpei, un ancien boxeur devenu alcoolique. Ce dernier, conscient de l’incroyable potentiel du jeune homme, rêve d’en faire le plus grand boxeur de l’histoire.",Shōnen,/imgs/mangas/ashita-no-joe.jpg,https://www.japscan.me/manga/ashita-no-joe/,https://www.japscan.me/manga/ashita-no-joe/,Japon,,,Manga Ashita no Joe,1968
"C'est lorsque j'ai perdu mon mari et ma fille que j'ai compris que ma vie était déformée, voilée, pervertie. Mais on m'offre une deuxième chance, je vais la mettre à profit !",Josei,/imgs/mangas/a-silent-garden.jpg,https://www.japscan.me/manga/a-silent-garden/,https://www.japscan.me/manga/a-silent-garden/,Corée Du Sud,,,Manhwa A Silent Garden,2021
"Il est dit que le Roi Salomon scella 72 démons en les liant à un anneau via un contrat. Ce dernier stipule que le démon doit obéir au porteur de l'anneau si ce dernier prononce son nom.
De nos jours, Ritsu Kamiki est le fils du prêtre catholique de la ville, mais suite à l'absence de son père il est responsable des offices et des tâches relatives à la fonction de son père.
Un jour, il aide une jeune fille affamée sur le parvis de son église. Cette dernière se trouve alors n'être autre qu'Asmodée, démon de la luxure, venue tuer le porteur actuel de l'anneau qui se trouve être Ritsu.
Notre héros apprend alors bien vite que les 72 démons sont bien décidés à le trouver, mais pas forcément pour les mêmes raisons…",Seinen,/imgs/mangas/asmodeus-wa-akiramenai.jpg,https://www.japscan.me/manga/asmodeus-wa-akiramenai/,https://www.japscan.me/manga/asmodeus-wa-akiramenai/,Japon,,,Manga Asmodeus Wa Akiramenai,2017
Court manga gag comique sur une esclave qui veut faire des choses perverses avec son maître.,Seinen,/imgs/mangas/a-slave-who-wants-to-do-perverted-things-with-her-master.jpg,https://www.japscan.me/manga/a-slave-who-wants-to-do-perverted-things-with-her-master/,https://www.japscan.me/manga/a-slave-who-wants-to-do-perverted-things-with-her-master/,Japon,,,Manga A Slave Who Wants To Do Perverted Things With Her Master,2018
Une comédie à mourir de rire combinant de belles filles et des jeux !,Seinen,/imgs/mangas/asobi-asobase.jpg,https://www.japscan.me/manga/asobi-asobase/,https://www.japscan.me/manga/asobi-asobase/,Japon,,,Manga Asobi Asobase,2015
"La fille du seigneur démon, Yurisina, menait une vie de démon normale lorsqu'elle a été convoquée par un humain sur le point de mourir. Pas n'importe quel humain, mais la première princesse Marianne du royaume de Paedin. Alors que Yurisina vit plutôt dans son corps, Marianne demande à Yurisina de se venger de la personne qui l'a empoisonnée.",Shōjo,/imgs/mangas/asmodian-s-contract.jpg,https://www.japscan.me/manga/asmodian-s-contract/,https://www.japscan.me/manga/asmodian-s-contract/,Corée Du Sud,,,Manhwa Asmodian's Contract,2021
